Unnamed: 0,name,label,onset,offset,recording_duration,whistle_type,whistle_name,path
0,13-11-19-1221,SW_Neo,1252.99383738034,1254.33173877747,3600.0,1,Whistle0,/lustre/fsn1/projects/rech/vzf/uqe97pu/raw_data/all_categories/SW_Neo13-11-19-12211252.99383738034_1254.33173877747.wav
1,Exp_03_Feb_2020_1345pm,SW_Neo,650.526971899915,651.604454417397,3300.0,1,Whistle1004,/lustre/fsn1/projects/rech/vzf/uqe97pu/raw_data/all_categories/SW_NeoExp_03_Feb_2020_1345pm650.526971899915_651.604454417397.wav
2,Exp_03_Mar_2020_1345pm,SW_Neo,383.02189626597,384.199140848013,3000.0,1,Whistle1015,/lustre/fsn1/projects/rech/vzf/uqe97pu/raw_data/all_categories/SW_NeoExp_03_Mar_2020_1345pm383.02189626597_384.199140848013.wav
3,Exp_04_Jan_2020_1345pm,SW_Neo,2389.16900434903,2390.00917462767,3300.0,1,Whistle1045,/lustre/fsn1/projects/rech/vzf/uqe97pu/raw_data/all_categories/SW_NeoExp_04_Jan_2020_1345pm2389.16900434903_2390.00917462767.wav
4,Exp_04_Mar_2020_1345pm,SW_Neo,111.387001950613,112.291814784837,3000.0,1,Whistle1054,/lustre/fsn1/projects/rech/vzf/uqe97pu/raw_data/all_categories/SW_NeoExp_04_Mar_2020_1345pm111.387001950613_112.291814784837.wav
5,Exp_04_Jan_2020_1345pm,SW_Neo,1747.58714194597,1748.54223178972,3300.0,1,Whistle106,/lustre/fsn1/projects/rech/vzf/uqe97pu/raw_data/all_categories/SW_NeoExp_04_Jan_2020_1345pm1747.58714194597_1748.54223178972.wav
6,Exp_04_Mar_2020_1545pm,SW_Neo,871.153577951879,871.984429015709,3000.0,1,Whistle1064,/lustre/fsn1/projects/rech/vzf/uqe97pu/raw_data/all_categories/SW_NeoExp_04_Mar_2020_1545pm871.153577951879_871.984429015709.wav
7,Exp_05_Dec_2019_1545pm,SW_Neo,240.061228160439,241.007925521056,3000.0,1,Whistle1069,/lustre/fsn1/projects/rech/vzf/uqe97pu/raw_data/all_categories/SW_NeoExp_05_Dec_2019_1545pm240.061228160439_241.007925521056.wav
8,Exp_05_Dec_2019_1545pm,SW_Neo,531.372363005202,532.239627948944,3000.0,1,Whistle1071,/lustre/fsn1/projects/rech/vzf/uqe97pu/raw_data/all_categories/SW_NeoExp_05_Dec_2019_1545pm531.372363005202_532.239627948944.wav
9,Exp_04_Jan_2020_1345pm,SW_Neo,1704.83410693318,1705.80642865333,3300.0,1,Whistle108,/lustre/fsn1/projects/rech/vzf/uqe97pu/raw_data/all_categories/SW_NeoExp_04_Jan_2020_1345pm1704.83410693318_1705.80642865333.wav
10,Exp_05_Feb_2020_1545pm,SW_Neo,370.421413280529,371.553671345045,3300.0,1,Whistle1081,/lustre/fsn1/projects/rech/vzf/uqe97pu/raw_data/all_categories/SW_NeoExp_05_Feb_2020_1545pm370.421413280529_371.553671345045.wav
11,Exp_01_Feb_2020_1545pm,SW_Neo,499.022055665877,500.330362375142,3300.0,1,Whistle1085,/lustre/fsn1/projects/rech/vzf/uqe97pu/raw_data/all_categories/SW_NeoExp_01_Feb_2020_1545pm499.022055665877_500.330362375142.wav
12,Exp_06_Feb_2020_1345pm,SW_Neo,1000.96507829951,1002.25301225204,3300.0,1,Whistle1128,/lustre/fsn1/projects/rech/vzf/uqe97pu/raw_data/all_categories/SW_NeoExp_06_Feb_2020_1345pm1000.96507829951_1002.25301225204.wav
